Timestamp,Identifier,Angle [°],Ant,Channel,RSSI [dBm]
15:50:58:230,F0:F8:F2:DA:2D:0D,86,1,7,-62
15:50:58:649,F0:F8:F2:DA:2D:0D,84,1,6,-62
15:50:59:170,F0:F8:F2:DA:2D:0D,84,1,5,-62
15:50:59:446,F0:F8:F2:DA:2D:0D,82,1,4,-62
15:50:59:812,F0:F8:F2:DA:2D:0D,80,1,3,-62
15:51:00:231,F0:F8:F2:DA:2D:0D,79,1,2,-62
15:51:00:597,F0:F8:F2:DA:2D:0D,78,1,1,-62
15:51:01:140,F0:F8:F2:DA:2D:0D,80,2,28,127
15:51:01:431,F0:F8:F2:DA:2D:0D,69,1,36,-61
15:51:01:799,F0:F8:F2:DA:2D:0D,70,1,35,-61
15:51:02:231,F0:F8:F2:DA:2D:0D,70,1,34,-61
15:51:02:599,F0:F8:F2:DA:2D:0D,81,1,33,-61
15:51:03:140,F0:F8:F2:DA:2D:0D,81,1,32,-61
15:51:03:431,F0:F8:F2:DA:2D:0D,80,1,31,-61
15:51:03:801,F0:F8:F2:DA:2D:0D,82,1,30,-61
15:51:04:218,F0:F8:F2:DA:2D:0D,82,1,29,-61
15:51:04:632,F0:F8:F2:DA:2D:0D,82,1,28,-61
15:51:04:999,F0:F8:F2:DA:2D:0D,82,1,27,-60
15:51:05:412,F0:F8:F2:DA:2D:0D,81,1,26,-61
15:51:05:834,F0:F8:F2:DA:2D:0D,80,1,25,-61
15:51:06:217,F0:F8:F2:DA:2D:0D,79,1,24,-61
15:51:06:633,F0:F8:F2:DA:2D:0D,79,1,23,-61
15:51:07:490,F0:F8:F2:DA:2D:0D,80,1,22,-61
15:51:07:414,F0:F8:F2:DA:2D:0D,79,1,21,-61
15:51:07:831,F0:F8:F2:DA:2D:0D,79,1,20,-61
15:51:08:217,F0:F8:F2:DA:2D:0D,80,1,19,-60
15:51:08:632,F0:F8:F2:DA:2D:0D,80,1,18,-60
15:51:08:998,F0:F8:F2:DA:2D:0D,80,1,17,-60
15:51:09:413,F0:F8:F2:DA:2D:0D,80,1,16,-60
15:51:09:832,F0:F8:F2:DA:2D:0D,80,1,15,-60
15:51:10:199,F0:F8:F2:DA:2D:0D,80,1,14,-61
15:51:10:614,F0:F8:F2:DA:2D:0D,81,1,13,-61
15:51:11:300,F0:F8:F2:DA:2D:0D,83,1,12,-61
15:51:11:399,F0:F8:F2:DA:2D:0D,83,1,11,-61
15:51:11:821,F0:F8:F2:DA:2D:0D,84,1,10,-62
15:51:12:234,F0:F8:F2:DA:2D:0D,85,1,9,-61
15:51:12:617,F0:F8:F2:DA:2D:0D,85,1,8,-62
15:51:13:360,F0:F8:F2:DA:2D:0D,84,1,7,-62
15:51:13:404,F0:F8:F2:DA:2D:0D,82,1,6,-62
15:51:14:135,F0:F8:F2:DA:2D:0D,80,1,23,-61
15:51:14:502,F0:F8:F2:DA:2D:0D,80,1,22,-60
15:51:14:915,F0:F8:F2:DA:2D:0D,79,1,21,-61
15:51:15:331,F0:F8:F2:DA:2D:0D,79,1,20,-60
15:51:15:751,F0:F8:F2:DA:2D:0D,79,1,19,-60
15:51:16:119,F0:F8:F2:DA:2D:0D,80,1,18,-60
15:51:16:533,F0:F8:F2:DA:2D:0D,80,1,17,-60
15:51:16:900,F0:F8:F2:DA:2D:0D,80,1,16,-60
15:51:17:317,F0:F8:F2:DA:2D:0D,81,1,15,-61
15:51:17:734,F0:F8:F2:DA:2D:0D,81,1,14,-61
15:51:18:122,F0:F8:F2:DA:2D:0D,82,1,13,-61
15:51:18:538,F0:F8:F2:DA:2D:0D,82,1,12,-61
15:51:18:902,F0:F8:F2:DA:2D:0D,83,1,11,-62
15:51:19:402,F0:F8:F2:DA:2D:0D,83,1,10,-62
