Timestamp,Identifier,Angle [°],Ant,Channel,RSSI [dBm]
15:49:47:300,F0:F8:F2:DA:2D:0D,50,1,36,-61
15:49:47:409,F0:F8:F2:DA:2D:0D,48,1,22,-61
15:49:47:830,F0:F8:F2:DA:2D:0D,48,1,8,-62
15:49:48:201,F0:F8:F2:DA:2D:0D,48,1,31,-61
15:49:48:618,F0:F8:F2:DA:2D:0D,48,1,17,-60
15:49:48:985,F0:F8:F2:DA:2D:0D,47,1,3,-62
15:49:49:421,F0:F8:F2:DA:2D:0D,46,1,26,-61
15:49:49:833,F0:F8:F2:DA:2D:0D,46,1,12,-62
15:49:50:199,F0:F8:F2:DA:2D:0D,47,1,35,-61
15:49:50:634,F0:F8:F2:DA:2D:0D,48,1,21,-60
15:49:51:370,F0:F8:F2:DA:2D:0D,49,1,7,-61
15:49:51:401,F0:F8:F2:DA:2D:0D,48,1,30,-61
15:49:51:827,F0:F8:F2:DA:2D:0D,47,1,16,-59
15:49:52:244,F0:F8:F2:DA:2D:0D,47,1,2,-62
15:49:52:619,F0:F8:F2:DA:2D:0D,47,1,25,-61
15:49:53:300,F0:F8:F2:DA:2D:0D,47,1,11,-62
15:49:53:404,F0:F8:F2:DA:2D:0D,46,1,34,-61
15:49:53:836,F0:F8:F2:DA:2D:0D,47,1,20,-61
15:49:54:204,F0:F8:F2:DA:2D:0D,47,1,6,-62
15:49:54:618,F0:F8:F2:DA:2D:0D,47,1,29,-61
15:49:54:987,F0:F8:F2:DA:2D:0D,47,1,15,-59
15:49:55:411,F0:F8:F2:DA:2D:0D,47,1,1,-61
15:49:55:834,F0:F8:F2:DA:2D:0D,47,1,24,-60
15:49:56:203,F0:F8:F2:DA:2D:0D,47,1,10,-62
15:49:56:618,F0:F8:F2:DA:2D:0D,46,1,33,-61
15:49:57:340,F0:F8:F2:DA:2D:0D,46,1,19,-60
15:49:57:406,F0:F8:F2:DA:2D:0D,46,1,5,-62
15:49:57:834,F0:F8:F2:DA:2D:0D,46,1,28,-60
15:49:58:208,F0:F8:F2:DA:2D:0D,47,1,14,-62
15:49:58:633,F0:F8:F2:DA:2D:0D,48,1,0,-61
15:49:58:994,F0:F8:F2:DA:2D:0D,48,1,23,-60
15:49:59:411,F0:F8:F2:DA:2D:0D,47,1,9,-62
15:49:59:820,F0:F8:F2:DA:2D:0D,46,1,32,-61
15:50:00:186,F0:F8:F2:DA:2D:0D,46,1,18,-59
15:50:00:602,F0:F8:F2:DA:2D:0D,46,1,4,-62
15:50:01:230,F0:F8:F2:DA:2D:0D,47,1,27,-60
15:50:01:401,F0:F8:F2:DA:2D:0D,47,1,13,-62
15:50:01:821,F0:F8:F2:DA:2D:0D,47,1,36,-61
15:50:02:189,F0:F8:F2:DA:2D:0D,47,1,22,-60
15:50:02:603,F0:F8:F2:DA:2D:0D,47,1,8,-61
15:50:03:210,F0:F8:F2:DA:2D:0D,47,1,31,-61
15:50:03:389,F0:F8:F2:DA:2D:0D,47,1,17,-59
15:50:03:807,F0:F8:F2:DA:2D:0D,46,1,3,-62
15:50:04:239,F0:F8:F2:DA:2D:0D,45,1,26,-61
15:50:04:604,F0:F8:F2:DA:2D:0D,46,1,12,-62
15:50:05:220,F0:F8:F2:DA:2D:0D,47,1,35,-61
15:50:05:437,F0:F8:F2:DA:2D:0D,48,1,21,-60
15:50:05:804,F0:F8:F2:DA:2D:0D,48,1,7,-62
15:50:06:220,F0:F8:F2:DA:2D:0D,48,1,30,-61
15:50:06:698,F0:F8:F2:DA:2D:0D,47,1,16,-59
15:50:07:200,F0:F8:F2:DA:2D:0D,47,1,2,-62
15:50:07:389,F0:F8:F2:DA:2D:0D,46,1,25,-61
15:50:07:826,F0:F8:F2:DA:2D:0D,46,1,11,-62
15:50:08:266,F0:F8:F2:DA:2D:0D,46,1,34,-61
