Timestamp,Identifier,Angle [°],Ant,Channel,RSSI [dBm]
15:51:56:534,F0:F8:F2:DA:2D:0D,-43,2,24,-61
15:51:56:901,F0:F8:F2:DA:2D:0D,-43,2,23,-61
15:51:57:317,F0:F8:F2:DA:2D:0D,-42,2,22,-60
15:51:57:713,F0:F8:F2:DA:2D:0D,-41,2,21,-61
15:51:58:131,F0:F8:F2:DA:2D:0D,-40,2,20,-60
15:51:58:494,F0:F8:F2:DA:2D:0D,-40,2,19,-59
15:51:58:914,F0:F8:F2:DA:2D:0D,-40,2,18,-59
15:51:59:331,F0:F8:F2:DA:2D:0D,-40,2,17,-59
15:51:59:714,F0:F8:F2:DA:2D:0D,-41,2,16,-59
15:52:00:129,F0:F8:F2:DA:2D:0D,-42,2,15,-59
15:52:00:543,F0:F8:F2:DA:2D:0D,-43,2,14,-59
15:52:00:910,F0:F8:F2:DA:2D:0D,-44,2,13,-59
15:52:01:332,F0:F8:F2:DA:2D:0D,-44,2,12,-59
15:52:01:714,F0:F8:F2:DA:2D:0D,-41,2,11,-59
15:52:02:130,F0:F8:F2:DA:2D:0D,-40,2,10,-59
15:52:02:498,F0:F8:F2:DA:2D:0D,-40,2,9,-58
15:52:02:912,F0:F8:F2:DA:2D:0D,-42,2,8,-63
15:52:03:330,F0:F8:F2:DA:2D:0D,-42,2,7,-63
15:52:03:696,F0:F8:F2:DA:2D:0D,-42,2,6,-63
15:52:04:132,F0:F8:F2:DA:2D:0D,-42,2,5,-63
15:52:04:532,F0:F8:F2:DA:2D:0D,-42,2,4,-63
15:52:04:898,F0:F8:F2:DA:2D:0D,-42,2,3,-62
15:52:05:312,F0:F8:F2:DA:2D:0D,-41,2,2,-62
15:52:05:731,F0:F8:F2:DA:2D:0D,-41,2,1,-62
15:52:06:960,F0:F8:F2:DA:2D:0D,-41,2,0,-62
15:52:06:512,F0:F8:F2:DA:2D:0D,-42,2,36,-62
15:52:06:935,F0:F8:F2:DA:2D:0D,-43,2,35,-62
15:52:07:302,F0:F8:F2:DA:2D:0D,-43,2,34,-62
15:52:07:732,F0:F8:F2:DA:2D:0D,-45,2,33,-61
15:52:08:990,F0:F8:F2:DA:2D:0D,-45,2,32,-61
15:52:08:520,F0:F8:F2:DA:2D:0D,-45,2,31,-61
15:52:08:931,F0:F8:F2:DA:2D:0D,-43,2,30,-61
15:52:09:300,F0:F8:F2:DA:2D:0D,-43,2,29,-61
15:52:09:734,F0:F8:F2:DA:2D:0D,-42,2,28,-61
15:52:10:148,F0:F8:F2:DA:2D:0D,-43,2,27,-60
15:52:10:515,F0:F8:F2:DA:2D:0D,-43,2,26,-60
15:52:10:933,F0:F8:F2:DA:2D:0D,-43,2,25,-60
15:52:11:298,F0:F8:F2:DA:2D:0D,-43,2,24,-60
15:52:11:734,F0:F8:F2:DA:2D:0D,-44,2,23,-61
15:52:12:134,F0:F8:F2:DA:2D:0D,-43,2,22,-61
15:52:12:498,F0:F8:F2:DA:2D:0D,-41,2,21,-61
15:52:12:916,F0:F8:F2:DA:2D:0D,-40,2,20,-60
15:52:13:353,F0:F8:F2:DA:2D:0D,-40,2,19,-59
15:52:13:717,F0:F8:F2:DA:2D:0D,-40,2,18,-59
15:52:14:140,F0:F8:F2:DA:2D:0D,-41,2,17,-59
15:52:14:556,F0:F8:F2:DA:2D:0D,-42,2,16,-59
15:52:14:922,F0:F8:F2:DA:2D:0D,-43,2,15,-59
15:52:15:355,F0:F8:F2:DA:2D:0D,-45,2,14,-59
15:52:15:734,F0:F8:F2:DA:2D:0D,-45,2,13,-59
15:52:16:140,F0:F8:F2:DA:2D:0D,-44,2,12,-59
15:52:16:506,F0:F8:F2:DA:2D:0D,-42,2,11,-59
15:52:16:948,F0:F8:F2:DA:2D:0D,-43,2,10,-59
15:52:17:371,F0:F8:F2:DA:2D:0D,-43,2,9,-59
15:52:17:739,F0:F8:F2:DA:2D:0D,-44,2,8,-63
