Timestamp,Identifier,Angle [°],Ant,Channel,RSSI [dBm]
20:49:48:340,F0:F8:F2:DA:2D:0D,-105,2,13,-61
20:49:48:396,F0:F8:F2:DA:2D:0D,-75,2,0,-64
20:49:48:814,F0:F8:F2:DA:2D:0D,-73,2,24,-62
20:49:49:429,F0:F8:F2:DA:2D:0D,-71,2,23,-62
20:49:49:794,F0:F8:F2:DA:2D:0D,-77,2,10,-62
20:49:50:510,F0:F8:F2:DA:2D:0D,-75,2,9,-62
20:49:50:926,F0:F8:F2:DA:2D:0D,-65,2,33,-63
20:49:51:549,F0:F8:F2:DA:2D:0D,-64,2,32,-63
20:49:52:110,F0:F8:F2:DA:2D:0D,-67,2,31,-62
20:49:52:512,F0:F8:F2:DA:2D:0D,-67,2,18,-62
20:49:52:927,F0:F8:F2:DA:2D:0D,-67,2,5,-67
20:49:53:330,F0:F8:F2:DA:2D:0D,-71,2,29,-62
20:49:53:913,F0:F8:F2:DA:2D:0D,-76,2,28,-62
20:49:54:319,F0:F8:F2:DA:2D:0D,-83,2,15,-61
20:49:54:724,F0:F8:F2:DA:2D:0D,-76,2,2,-66
20:49:55:208,F0:F8:F2:DA:2D:0D,-83,2,1,-65
20:49:55:608,F0:F8:F2:DA:2D:0D,-78,2,25,-62
20:49:56:234,F0:F8:F2:DA:2D:0D,-85,2,24,-62
20:49:56:808,F0:F8:F2:DA:2D:0D,-83,2,23,-62
20:49:57:231,F0:F8:F2:DA:2D:0D,-83,2,10,-62
20:49:57:727,F0:F8:F2:DA:2D:0D,-72,2,34,-63
20:49:58:299,F0:F8:F2:DA:2D:0D,-69,2,33,-63
20:49:58:936,F0:F8:F2:DA:2D:0D,-68,2,32,-62
20:49:59:326,F0:F8:F2:DA:2D:0D,-70,2,19,-62
20:49:59:906,F0:F8:F2:DA:2D:0D,-69,2,18,-62
20:50:00:528,F0:F8:F2:DA:2D:0D,-69,2,17,-62
20:50:00:949,F0:F8:F2:DA:2D:0D,-73,2,4,-66
20:50:01:396,F0:F8:F2:DA:2D:0D,-81,2,3,-66
20:50:01:827,F0:F8:F2:DA:2D:0D,-84,2,27,-62
20:50:02:437,F0:F8:F2:DA:2D:0D,-92,2,26,-62
20:50:02:788,F0:F8:F2:DA:2D:0D,-90,2,13,-62
20:50:03:199,F0:F8:F2:DA:2D:0D,-82,2,0,-64
20:50:03:815,F0:F8:F2:DA:2D:0D,-79,2,36,-64
20:50:04:382,F0:F8:F2:DA:2D:0D,-77,2,35,-63
20:50:05:103,F0:F8:F2:DA:2D:0D,-84,2,34,-63
20:50:05:720,F0:F8:F2:DA:2D:0D,-81,2,33,-63
20:50:06:304,F0:F8:F2:DA:2D:0D,-80,2,32,-63
20:50:06:913,F0:F8:F2:DA:2D:0D,-79,2,31,-62
20:50:07:525,F0:F8:F2:DA:2D:0D,-77,2,30,-62
20:50:08:950,F0:F8:F2:DA:2D:0D,-74,2,29,-62
20:50:08:614,F0:F8:F2:DA:2D:0D,-81,2,28,-62
20:50:09:178,F0:F8:F2:DA:2D:0D,-88,2,27,-62
20:50:09:796,F0:F8:F2:DA:2D:0D,-95,2,26,-62
20:50:10:419,F0:F8:F2:DA:2D:0D,-93,2,25,-62
20:50:10:830,F0:F8:F2:DA:2D:0D,-91,2,12,-62
20:50:11:247,F0:F8:F2:DA:2D:0D,-79,2,36,-64
20:50:11:812,F0:F8:F2:DA:2D:0D,-76,2,35,-64
20:50:12:527,F0:F8:F2:DA:2D:0D,-74,2,34,-63
20:50:13:430,F0:F8:F2:DA:2D:0D,-81,2,33,-63
20:50:13:640,F0:F8:F2:DA:2D:0D,-78,2,32,-63
20:50:14:166,F0:F8:F2:DA:2D:0D,-69,2,19,-62
20:50:14:550,F0:F8:F2:DA:2D:0D,-68,2,6,-62
20:50:14:910,F0:F8:F2:DA:2D:0D,-56,2,30,-62
20:50:15:337,F0:F8:F2:DA:2D:0D,-71,2,17,-62
