Timestamp,Identifier,Angle [°],Ant,Channel,RSSI [dBm]
15:56:21:645,F0:F8:F2:DA:2D:0D,-2,1,26,-76
15:56:22:640,F0:F8:F2:DA:2D:0D,9,1,29,-78
15:56:22:442,F0:F8:F2:DA:2D:0D,11,2,5,-77
15:56:22:860,F0:F8:F2:DA:2D:0D,10,2,8,-76
15:56:23:277,F0:F8:F2:DA:2D:0D,6,2,11,-77
15:56:23:643,F0:F8:F2:DA:2D:0D,3,1,4,-76
15:56:24:600,F0:F8:F2:DA:2D:0D,7,2,17,-77
15:56:24:476,F0:F8:F2:DA:2D:0D,6,2,20,-76
15:56:24:843,F0:F8:F2:DA:2D:0D,-5,2,23,-77
15:56:25:264,F0:F8:F2:DA:2D:0D,-17,1,16,-76
15:56:25:681,F0:F8:F2:DA:2D:0D,-18,1,19,-76
15:56:26:460,F0:F8:F2:DA:2D:0D,-11,1,22,-76
15:56:26:464,F0:F8:F2:DA:2D:0D,-6,1,25,-76
15:56:26:880,F0:F8:F2:DA:2D:0D,-9,2,1,-77
15:56:27:246,F0:F8:F2:DA:2D:0D,-18,2,4,-77
15:56:27:665,F0:F8:F2:DA:2D:0D,-18,2,7,-75
15:56:28:840,F0:F8:F2:DA:2D:0D,-15,2,10,-77
15:56:28:448,F0:F8:F2:DA:2D:0D,-5,2,13,-76
15:56:28:864,F0:F8:F2:DA:2D:0D,-3,1,6,-76
15:56:29:230,F0:F8:F2:DA:2D:0D,-1,2,19,-77
15:56:29:646,F0:F8:F2:DA:2D:0D,0,1,12,-75
15:56:30:710,F0:F8:F2:DA:2D:0D,0,1,15,-74
15:56:30:446,F0:F8:F2:DA:2D:0D,0,1,18,-74
15:56:30:861,F0:F8:F2:DA:2D:0D,3,1,21,-77
15:56:31:278,F0:F8:F2:DA:2D:0D,8,1,24,-75
15:56:31:645,F0:F8:F2:DA:2D:0D,11,1,27,-76
15:56:32:630,F0:F8:F2:DA:2D:0D,11,2,3,-78
15:56:32:428,F0:F8:F2:DA:2D:0D,6,2,6,-76
15:56:32:849,F0:F8:F2:DA:2D:0D,2,2,9,-76
15:56:33:278,F0:F8:F2:DA:2D:0D,-3,1,2,-79
15:56:33:645,F0:F8:F2:DA:2D:0D,1,1,5,-77
15:56:34:630,F0:F8:F2:DA:2D:0D,5,2,18,-80
15:56:34:488,F0:F8:F2:DA:2D:0D,-1,2,21,-78
15:56:34:865,F0:F8:F2:DA:2D:0D,-12,1,14,-76
15:56:35:265,F0:F8:F2:DA:2D:0D,-17,1,17,-76
15:56:35:678,F0:F8:F2:DA:2D:0D,-6,2,30,-78
15:56:36:490,F0:F8:F2:DA:2D:0D,1,1,23,-75
15:56:36:477,F0:F8:F2:DA:2D:0D,3,2,36,-77
15:56:36:848,F0:F8:F2:DA:2D:0D,-10,2,2,-77
15:56:37:260,F0:F8:F2:DA:2D:0D,-19,2,5,-77
15:56:37:680,F0:F8:F2:DA:2D:0D,-25,2,8,-75
15:56:38:450,F0:F8:F2:DA:2D:0D,-12,2,11,-74
15:56:38:466,F0:F8:F2:DA:2D:0D,-6,2,14,-74
15:56:38:880,F0:F8:F2:DA:2D:0D,-3,2,17,-76
15:56:39:251,F0:F8:F2:DA:2D:0D,-5,2,20,-76
15:56:39:662,F0:F8:F2:DA:2D:0D,-2,2,23,-77
15:56:40:810,F0:F8:F2:DA:2D:0D,1,1,16,-75
15:56:40:451,F0:F8:F2:DA:2D:0D,3,1,19,-77
15:56:40:866,F0:F8:F2:DA:2D:0D,2,2,32,-74
15:56:41:230,F0:F8:F2:DA:2D:0D,-5,2,35,-75
15:56:41:654,F0:F8:F2:DA:2D:0D,-15,2,1,-77
15:56:42:840,F0:F8:F2:DA:2D:0D,-19,2,4,-78
15:56:42:436,F0:F8:F2:DA:2D:0D,-6,2,7,-76
15:56:42:869,F0:F8:F2:DA:2D:0D,1,2,10,-74
15:56:43:280,F0:F8:F2:DA:2D:0D,2,2,13,-73
15:56:43:651,F0:F8:F2:DA:2D:0D,-11,2,16,-74
15:56:44:700,F0:F8:F2:DA:2D:0D,-18,2,19,-74
15:56:44:480,F0:F8:F2:DA:2D:0D,-21,2,22,-74
15:56:44:854,F0:F8:F2:DA:2D:0D,-26,2,25,-77
15:56:45:285,F0:F8:F2:DA:2D:0D,-24,2,28,-76
15:56:45:632,F0:F8:F2:DA:2D:0D,-22,2,31,-75
15:56:46:660,F0:F8:F2:DA:2D:0D,-16,2,34,-76
15:56:46:489,F0:F8:F2:DA:2D:0D,-16,2,0,-77
15:56:46:851,F0:F8:F2:DA:2D:0D,-17,2,3,-77
