Timestamp,Identifier,Angle [°],Ant,Channel,RSSI [dBm]
16:00:01:807,F0:F8:F2:DA:2D:0D,-7,2,4,-64
16:00:02:190,F0:F8:F2:DA:2D:0D,0,2,36,-64
16:00:02:558,F0:F8:F2:DA:2D:0D,0,2,31,-63
16:00:02:990,F0:F8:F2:DA:2D:0D,1,2,26,-62
16:00:03:357,F0:F8:F2:DA:2D:0D,-1,2,21,-62
16:00:03:779,F0:F8:F2:DA:2D:0D,0,2,16,-62
16:00:04:193,F0:F8:F2:DA:2D:0D,0,2,11,-62
16:00:04:575,F0:F8:F2:DA:2D:0D,2,1,14,-64
16:00:04:991,F0:F8:F2:DA:2D:0D,0,2,1,-64
16:00:05:407,F0:F8:F2:DA:2D:0D,1,2,33,-64
16:00:05:774,F0:F8:F2:DA:2D:0D,4,2,28,-63
16:00:06:193,F0:F8:F2:DA:2D:0D,4,2,23,-63
16:00:06:560,F0:F8:F2:DA:2D:0D,2,2,18,-63
16:00:06:991,F0:F8:F2:DA:2D:0D,2,2,13,-62
16:00:07:389,F0:F8:F2:DA:2D:0D,3,2,8,-62
16:00:07:780,F0:F8:F2:DA:2D:0D,5,1,11,-64
16:00:08:185,F0:F8:F2:DA:2D:0D,1,2,35,-64
16:00:08:562,F0:F8:F2:DA:2D:0D,1,2,30,-62
16:00:08:977,F0:F8:F2:DA:2D:0D,1,2,25,-62
16:00:09:395,F0:F8:F2:DA:2D:0D,2,2,20,-62
16:00:09:770,F0:F8:F2:DA:2D:0D,2,2,15,-62
16:00:10:171,F0:F8:F2:DA:2D:0D,3,2,10,-62
16:00:10:600,F0:F8:F2:DA:2D:0D,6,1,13,-63
16:00:10:967,F0:F8:F2:DA:2D:0D,3,1,8,-63
16:00:11:383,F0:F8:F2:DA:2D:0D,0,2,32,-63
16:00:11:818,F0:F8:F2:DA:2D:0D,-1,2,27,-62
16:00:12:167,F0:F8:F2:DA:2D:0D,-1,2,22,-62
16:00:12:597,F0:F8:F2:DA:2D:0D,-1,2,17,-62
16:00:12:963,F0:F8:F2:DA:2D:0D,0,2,12,-63
16:00:13:381,F0:F8:F2:DA:2D:0D,3,1,15,-64
16:00:13:800,F0:F8:F2:DA:2D:0D,3,1,10,-63
16:00:14:167,F0:F8:F2:DA:2D:0D,0,2,34,-63
16:00:14:588,F0:F8:F2:DA:2D:0D,0,2,29,-63
16:00:15:130,F0:F8:F2:DA:2D:0D,1,2,24,-62
16:00:15:378,F0:F8:F2:DA:2D:0D,1,2,19,-62
16:00:15:797,F0:F8:F2:DA:2D:0D,1,2,14,-62
16:00:16:172,F0:F8:F2:DA:2D:0D,1,2,9,-62
16:00:16:595,F0:F8:F2:DA:2D:0D,3,1,12,-64
16:00:16:961,F0:F8:F2:DA:2D:0D,1,2,36,-64
16:00:17:399,F0:F8:F2:DA:2D:0D,2,2,31,-63
16:00:17:764,F0:F8:F2:DA:2D:0D,3,2,26,-62
16:00:18:183,F0:F8:F2:DA:2D:0D,3,2,21,-62
16:00:18:597,F0:F8:F2:DA:2D:0D,0,2,16,-62
16:00:18:966,F0:F8:F2:DA:2D:0D,0,2,11,-62
16:00:19:378,F0:F8:F2:DA:2D:0D,1,1,14,-64
16:00:19:794,F0:F8:F2:DA:2D:0D,2,2,1,-64
16:00:20:162,F0:F8:F2:DA:2D:0D,3,2,33,-64
16:00:20:584,F0:F8:F2:DA:2D:0D,6,2,28,-63
16:00:21:320,F0:F8:F2:DA:2D:0D,7,2,23,-63
16:00:21:384,F0:F8:F2:DA:2D:0D,3,2,18,-62
16:00:21:804,F0:F8:F2:DA:2D:0D,2,2,13,-62
16:00:22:169,F0:F8:F2:DA:2D:0D,3,2,8,-62
16:00:22:588,F0:F8:F2:DA:2D:0D,5,1,11,-64
16:00:23:610,F0:F8:F2:DA:2D:0D,3,2,35,-65
