Timestamp,Identifier,Angle [°],Ant,Channel,RSSI [dBm]
15:54:53:108,F0:F8:F2:DA:2D:0D,-6,2,9,-77
15:54:53:476,F0:F8:F2:DA:2D:0D,5,2,32,-73
15:54:53:895,F0:F8:F2:DA:2D:0D,4,1,33,-75
15:54:54:263,F0:F8:F2:DA:2D:0D,5,2,4,-74
15:54:54:693,F0:F8:F2:DA:2D:0D,3,2,27,-75
15:54:55:109,F0:F8:F2:DA:2D:0D,1,2,13,-77
15:54:55:476,F0:F8:F2:DA:2D:0D,1,2,36,-73
15:54:55:892,F0:F8:F2:DA:2D:0D,0,2,22,-74
15:54:56:259,F0:F8:F2:DA:2D:0D,-3,2,8,-75
15:54:56:678,F0:F8:F2:DA:2D:0D,-3,2,31,-72
15:54:57:610,F0:F8:F2:DA:2D:0D,-5,2,17,-74
15:54:57:477,F0:F8:F2:DA:2D:0D,-2,2,3,-73
15:54:57:903,F0:F8:F2:DA:2D:0D,-4,2,26,-74
15:54:58:279,F0:F8:F2:DA:2D:0D,-4,2,12,-76
15:54:58:693,F0:F8:F2:DA:2D:0D,-1,2,35,-73
15:54:59:610,F0:F8:F2:DA:2D:0D,0,2,21,-74
15:54:59:479,F0:F8:F2:DA:2D:0D,0,2,7,-74
15:54:59:912,F0:F8:F2:DA:2D:0D,-2,2,30,-72
15:55:00:278,F0:F8:F2:DA:2D:0D,-5,2,16,-73
15:55:00:693,F0:F8:F2:DA:2D:0D,-5,2,2,-73
15:55:01:620,F0:F8:F2:DA:2D:0D,-8,2,25,-72
15:55:01:519,F0:F8:F2:DA:2D:0D,-10,2,11,-74
15:55:01:863,F0:F8:F2:DA:2D:0D,-9,2,34,-72
15:55:02:262,F0:F8:F2:DA:2D:0D,-9,2,20,-73
15:55:02:680,F0:F8:F2:DA:2D:0D,-6,2,6,-73
15:55:03:640,F0:F8:F2:DA:2D:0D,-4,2,29,-72
15:55:03:479,F0:F8:F2:DA:2D:0D,-6,2,15,-73
15:55:03:896,F0:F8:F2:DA:2D:0D,-6,2,1,-73
15:55:04:264,F0:F8:F2:DA:2D:0D,-7,2,24,-73
15:55:04:697,F0:F8:F2:DA:2D:0D,-9,2,10,-73
15:55:05:116,F0:F8:F2:DA:2D:0D,-7,2,33,-71
15:55:05:466,F0:F8:F2:DA:2D:0D,-9,2,19,-73
15:55:05:881,F0:F8:F2:DA:2D:0D,-7,2,5,-73
15:55:06:314,F0:F8:F2:DA:2D:0D,-7,2,28,-73
15:55:06:665,F0:F8:F2:DA:2D:0D,-8,2,14,-76
15:55:07:980,F0:F8:F2:DA:2D:0D,-5,2,0,-72
15:55:07:504,F0:F8:F2:DA:2D:0D,-7,2,23,-72
15:55:07:881,F0:F8:F2:DA:2D:0D,-8,2,9,-73
15:55:08:296,F0:F8:F2:DA:2D:0D,-9,2,32,-71
15:55:08:711,F0:F8:F2:DA:2D:0D,-11,2,18,-73
15:55:09:810,F0:F8:F2:DA:2D:0D,-8,2,4,-73
15:55:09:496,F0:F8:F2:DA:2D:0D,-9,2,27,-73
15:55:09:865,F0:F8:F2:DA:2D:0D,-9,2,13,-75
15:55:10:299,F0:F8:F2:DA:2D:0D,-5,2,36,-72
15:55:10:665,F0:F8:F2:DA:2D:0D,-6,2,22,-73
15:55:11:790,F0:F8:F2:DA:2D:0D,-8,2,8,-73
15:55:11:516,F0:F8:F2:DA:2D:0D,-9,2,31,-71
15:55:11:882,F0:F8:F2:DA:2D:0D,-10,2,17,-73
15:55:12:297,F0:F8:F2:DA:2D:0D,-7,2,3,-72
15:55:12:666,F0:F8:F2:DA:2D:0D,-8,2,26,-73
15:55:13:800,F0:F8:F2:DA:2D:0D,-9,2,12,-74
15:55:13:496,F0:F8:F2:DA:2D:0D,-7,2,35,-72
