Date Time,Identifier,Message
09:10:22:887,F0:F8:F2:DA:2D:0D,"AoA: Angle=-16, Ant=2, Channel=31, RSSI=-66"
09:10:23:250,F0:F8:F2:DA:2D:0D,"AoA: Angle=-16, Ant=2, Channel=17, RSSI=-71"
09:10:23:454,F0:F8:F2:DA:2D:0D,"CCI: Channel=10, RSSI=-66"
09:10:23:458,F0:F8:F2:DA:06:D9,"CCI: Channel=10, RSSI=-66"
09:10:23:555,F0:F8:F2:DA:2D:0D,"CCI: Channel=25, RSSI=-68"
09:10:23:571,F0:F8:F2:DA:06:D9,"CCI: Channel=25, RSSI=-65"
09:10:23:654,F0:F8:F2:DA:2D:0D,"AoA: Angle=-24, Ant=2, Channel=3, RSSI=-64"
09:10:24:890,F0:F8:F2:DA:2D:0D,"AoA: Angle=-25, Ant=2, Channel=26, RSSI=-67"
09:10:24:449,F0:F8:F2:DA:2D:0D,"AoA: Angle=-27, Ant=2, Channel=12, RSSI=-66"
09:10:24:653,F0:F8:F2:DA:06:D9,"CCI: Channel=5, RSSI=-65"
09:10:24:672,F0:F8:F2:DA:2D:0D,"CCI: Channel=5, RSSI=-65"
09:10:24:751,F0:F8:F2:DA:06:D9,"CCI: Channel=20, RSSI=-68"
09:10:24:758,F0:F8:F2:DA:2D:0D,"CCI: Channel=20, RSSI=-73"
09:10:24:866,F0:F8:F2:DA:2D:0D,"AoA: Angle=-25, Ant=2, Channel=35, RSSI=-64"
09:10:25:691,F0:F8:F2:DA:2D:0D,"AoA: Angle=-25, Ant=2, Channel=7, RSSI=-64"
09:10:25:950,F0:F8:F2:DA:2D:0D,"CCI: Channel=15, RSSI=-73"
09:10:25:985,F0:F8:F2:DA:06:D9,"CCI: Channel=15, RSSI=-66"
09:10:26:370,F0:F8:F2:DA:06:D9,"CCI: Channel=30, RSSI=-71"
09:10:26:710,F0:F8:F2:DA:2D:0D,"CCI: Channel=30, RSSI=-66"
09:10:26:810,F0:F8:F2:DA:2D:0D,"AoA: Angle=-22, Ant=2, Channel=30, RSSI=-66"
09:10:26:333,F0:F8:F2:DA:06:D9,"CCI: Channel=1, RSSI=-77"
09:10:26:367,F0:F8:F2:DA:2D:0D,"CCI: Channel=1, RSSI=-81"
09:10:26:464,F0:F8:F2:DA:2D:0D,"AoA: Angle=-24, Ant=2, Channel=16, RSSI=-74"
09:10:26:875,F0:F8:F2:DA:2D:0D,"AoA: Angle=-27, Ant=2, Channel=2, RSSI=-73"
09:10:27:137,F0:F8:F2:DA:2D:0D,"CCI: Channel=10, RSSI=-89"
09:10:27:155,F0:F8:F2:DA:06:D9,"CCI: Channel=10, RSSI=-67"
09:10:27:233,F0:F8:F2:DA:2D:0D,"CCI: Channel=25, RSSI=-89"
09:10:27:649,F0:F8:F2:DA:2D:0D,"AoA: Angle=-16, Ant=2, Channel=11, RSSI=-77"
09:10:28:680,F0:F8:F2:DA:2D:0D,"AoA: Angle=-19, Ant=1, Channel=19, RSSI=-74"
09:10:28:367,F0:F8:F2:DA:2D:0D,"CCI: Channel=5, RSSI=-84"
09:10:28:386,F0:F8:F2:DA:06:D9,"CCI: Channel=5, RSSI=-80"
09:10:28:430,F0:F8:F2:DA:06:D9,"CCI: Channel=20, RSSI=-66"
09:10:28:486,F0:F8:F2:DA:2D:0D,"CCI: Channel=20, RSSI=-84"
09:10:28:508,F0:F8:F2:DA:2D:0D,"AoA: Angle=-7, Ant=2, Channel=20, RSSI=-84"
09:10:28:847,F0:F8:F2:DA:2D:0D,"AoA: Angle=-15, Ant=1, Channel=28, RSSI=-68"
09:10:29:663,F0:F8:F2:DA:2D:0D,"AoA: Angle=5, Ant=1, Channel=0, RSSI=-68"
09:10:29:669,F0:F8:F2:DA:2D:0D,"CCI: Channel=15, RSSI=-71"
09:10:29:688,F0:F8:F2:DA:06:D9,"CCI: Channel=15, RSSI=-62"
09:10:29:768,F0:F8:F2:DA:2D:0D,"CCI: Channel=30, RSSI=-68"
09:10:29:790,F0:F8:F2:DA:06:D9,"CCI: Channel=30, RSSI=-63"
